Team,SOS,Rank,Opp Record,Opp Win Percent
Alabama,0.6509,1,862-381,0.6935
Auburn,0.6418,2,873-411,0.6799
Kentucky,0.6221,3,777-407,0.6562
Purdue,0.6146,4,752-418,0.6427
Tennessee,0.6064,5,791-457,0.6338
Ole Miss,0.6064,6,758-426,0.6402
Michigan,0.6058,7,757-440,0.6324
Houston,0.6004,8,829-496,0.6257
Florida,0.6004,9,820-488,0.6269
Arizona,0.5959,10,757-456,0.6241
Texas A&M,0.5947,11,686-426,0.6169
Kansas,0.592,12,697-433,0.6168
Michigan State,0.5913,13,737-470,0.6106
Oregon,0.5904,14,685-437,0.6105
Illinois,0.5862,15,697-447,0.6093
Indiana,0.5847,16,620-404,0.6055
Baylor,0.5846,17,686-440,0.6092
Georgia,0.5844,18,661-414,0.6149
North Carolina,0.5837,19,731-462,0.6127
South Carolina,0.5835,20,632-408,0.6077
Arizona State,0.5803,21,656-433,0.6024
Duke,0.58,22,764-505,0.602
Mississippi State,0.5766,23,658-450,0.5939
Missouri,0.5711,24,660-447,0.5962
Ohio State,0.5709,25,604-433,0.5824
USC,0.5694,26,657-459,0.5887
Wisconsin,0.5691,27,690-499,0.5803
Memphis,0.5684,28,656-445,0.5958
West Virginia,0.5682,29,619-434,0.5878
Texas Tech,0.5667,30,707-498,0.5867
Minnesota,0.5665,31,598-418,0.5886
Arkansas,0.566,32,680-491,0.5807
Nebraska,0.5657,33,653-466,0.5836
Louisville,0.5657,34,653-463,0.5851
Maryland,0.565,35,678-483,0.584
Creighton,0.5648,36,669-477,0.5838
UCLA,0.5647,37,638-457,0.5826
Marquette,0.5645,38,640-450,0.5872
Rutgers,0.5639,39,585-432,0.5752
TCU,0.5636,40,606-443,0.5777
Oklahoma,0.5633,41,642-473,0.5758
Gonzaga,0.5605,42,633-458,0.5802
Vanderbilt,0.5592,43,615-454,0.5753
Northwestern,0.5589,44,603-458,0.5683
Virginia,0.5556,45,603-432,0.5826
Saint Mary's (CA),0.5553,46,617-457,0.5745
UCF,0.5551,47,673-518,0.5651
Colorado,0.5545,48,640-487,0.5679
Washington,0.5545,49,546-421,0.5646
Iowa State,0.5541,50,646-495,0.5662
Texas,0.5538,51,636-487,0.5663
Saint Louis,0.5526,52,581-431,0.5741
Clemson,0.5522,53,615-464,0.57
St. John's (NY),0.5516,54,641-498,0.5628
Butler,0.5507,55,638-483,0.5691
LSU,0.5502,56,587-460,0.5606
San Diego State,0.5499,57,547-414,0.5692
BYU,0.5481,58,654-518,0.558
Kansas State,0.5476,59,596-469,0.5596
Iowa,0.5465,60,586-470,0.5549
Dayton,0.5457,61,584-455,0.5621
Stanford,0.5427,62,620-484,0.5616
Colorado State,0.5418,63,615-494,0.5546
Syracuse,0.5411,64,587-466,0.5575
Providence,0.541,65,563-452,0.5547
Cincinnati,0.5404,66,622-509,0.55
Duquesne,0.5396,67,537-424,0.5588
Richmond,0.5395,68,522-408,0.5613
Connecticut,0.539,69,620-506,0.5506
Middle Tennessee,0.5387,70,527-420,0.5565
New Mexico,0.5386,71,585-472,0.5535
San Francisco,0.5382,72,593-471,0.5573
Boise State,0.538,73,609-499,0.5496
Xavier,0.5373,74,593-491,0.547
Miami (FL),0.5372,75,552-443,0.5548
George Mason,0.5358,76,595-474,0.5566
Pittsburgh,0.5357,77,552-465,0.5428
Oklahoma State,0.5356,78,615-520,0.5419
Northern Iowa,0.5348,79,545-432,0.5578
Utah State,0.5343,80,561-465,0.5468
Penn State,0.5343,81,525-449,0.539
Southern Illinois,0.5328,82,520-418,0.5544
Saint Joseph's,0.5323,83,589-485,0.5484
Florida Atlantic,0.5318,84,562-462,0.5488
Bradley,0.5313,85,591-490,0.5467
UAB,0.5311,86,612-495,0.5528
Kennesaw State,0.5297,87,478-403,0.5426
UNLV,0.529,88,553-476,0.5374
Santa Clara,0.5285,89,568-487,0.5384
Wake Forest,0.5283,90,553-472,0.5395
UC Irvine,0.5272,91,627-520,0.5466
Utah,0.5271,92,567-503,0.5299
Seton Hall,0.5268,93,543-475,0.5334
North Texas,0.5264,94,570-477,0.5444
Jacksonville State,0.5248,95,515-446,0.5359
Florida State,0.5242,96,538-470,0.5337
La Salle,0.5237,97,525-454,0.5363
VCU,0.5231,98,560-491,0.5328
SMU,0.5227,99,582-522,0.5272
Notre Dame,0.5226,100,553-490,0.5302
Loyola-Chicago,0.5222,101,586-524,0.5279
Kent State,0.5221,102,561-465,0.5468
Western Kentucky,0.5217,103,472-417,0.5309
Sam Houston State,0.521,104,444-400,0.5261
Murray State,0.5201,105,511-450,0.5317
Fordham,0.5198,106,522-458,0.5327
Virginia Tech,0.519,107,527-481,0.5228
James Madison,0.5187,108,487-414,0.5405
UTEP,0.5185,109,457-411,0.5265
Villanova,0.5185,110,595-545,0.5219
Yale,0.518,111,413-372,0.5261
California,0.5171,112,536-498,0.5184
Wofford,0.5168,113,530-432,0.5509
UIC,0.5167,114,455-414,0.5236
Drake,0.5155,115,522-480,0.521
Nevada,0.515,116,528-488,0.5197
UC Riverside,0.5149,117,523-454,0.5353
UTSA,0.5146,118,471-418,0.5298
North Carolina State,0.5144,119,512-477,0.5177
Louisiana Tech,0.5139,120,439-406,0.5195
Air Force,0.5132,121,514-470,0.5224
Georgia Tech,0.5129,122,553-515,0.5178
Georgetown,0.5126,123,553-518,0.5163
Saint Bonaventure,0.5125,124,524-489,0.5173
DePaul,0.5122,125,553-520,0.5154
McNeese,0.5116,126,507-456,0.5265
UMass,0.5115,127,485-455,0.516
Chattanooga,0.5114,128,568-493,0.5353
Wichita State,0.5112,129,525-489,0.5178
Akron,0.5105,130,514-453,0.5315
Princeton,0.5102,131,405-372,0.5212
Belmont,0.5102,132,502-467,0.5181
New Mexico State,0.5098,133,434-414,0.5118
Washington State,0.5094,134,544-509,0.5166
Ohio,0.5094,135,481-431,0.5274
Toledo,0.5088,136,502-450,0.5273
Delaware,0.5086,137,534-480,0.5266
South Florida,0.5086,138,501-459,0.5219
San Jose State,0.5083,139,514-494,0.5099
Evansville,0.508,140,478-450,0.5151
Arkansas State,0.5076,141,544-502,0.5201
Illinois State,0.5075,142,535-503,0.5154
Liberty,0.5064,143,467-459,0.5043
Oakland,0.5053,144,516-476,0.5202
Towson,0.5042,145,500-471,0.5149
Rhode Island,0.5041,146,462-450,0.5066
Loyola-Marymount,0.5039,147,496-468,0.5145
Davidson,0.5034,148,498-490,0.504
Valparaiso,0.5033,149,481-466,0.5079
Missouri State,0.5032,150,458-443,0.5083
UC San Diego,0.5024,151,509-484,0.5126
Cal Poly,0.5015,152,523-498,0.5122
Furman,0.5014,153,480-444,0.5195
Indiana State,0.5007,154,458-451,0.5039
Cornell,0.5006,155,374-365,0.5061
Boston College,0.5003,156,488-483,0.5026
Harvard,0.4991,157,368-356,0.5083
Wyoming,0.4991,158,479-479,0.5
Seattle University,0.4988,159,452-419,0.5189
UNC Wilmington,0.4983,160,494-485,0.5046
Appalachian State,0.4961,161,445-433,0.5068
Troy,0.4961,162,489-483,0.5031
Samford,0.4959,163,471-435,0.5199
Hampton,0.4952,164,454-443,0.5061
Oregon State,0.4947,165,498-503,0.4975
Canisius,0.4943,166,483-460,0.5122
Tulane,0.4943,167,488-492,0.498
Penn,0.494,168,380-374,0.504
Lamar,0.4939,169,440-434,0.5034
Louisiana,0.4936,170,489-473,0.5083
Cal State Fullerton,0.4936,171,457-454,0.5016
Fresno State,0.4934,172,486-504,0.4909
George Washington,0.4931,173,501-517,0.4921
Pepperdine,0.4927,174,511-517,0.4971
UC Davis,0.492,175,455-450,0.5028
Long Beach State,0.4918,176,451-457,0.4967
Charleston Southern,0.4912,177,434-436,0.4989
Merrimack,0.4912,178,493-495,0.499
Winthrop,0.4912,179,445-446,0.4994
Hawaii,0.491,180,442-446,0.4977
William & Mary,0.4909,181,450-456,0.4967
Montana,0.4908,182,477-456,0.5113
Charleston,0.4906,183,479-488,0.4953
Temple,0.4895,184,464-483,0.49
Mount St. Mary's,0.4892,185,527-518,0.5043
Charlotte,0.489,186,471-491,0.4896
Siena,0.4875,187,478-480,0.499
Portland,0.4873,188,446-474,0.4848
Quinnipiac,0.4872,189,479-479,0.5
High Point,0.487,190,469-486,0.4911
Northern Kentucky,0.4863,191,457-465,0.4957
FIU,0.4859,192,427-464,0.4792
East Carolina,0.4857,193,455-485,0.484
UNC Asheville,0.4853,194,399-410,0.4932
Monmouth,0.4846,195,483-510,0.4864
Dartmouth,0.4846,196,337-359,0.4842
Gardner-Webb,0.4841,197,446-456,0.4945
Wright State,0.4841,198,451-470,0.4897
Cal State Bakersfield,0.484,199,451-468,0.4908
Bryant,0.4837,200,484-481,0.5016
Western Carolina,0.4837,201,393-400,0.4956
Brown,0.4834,202,344-374,0.4791
Marshall,0.4834,203,448-472,0.487
Nicholls,0.4834,204,424-445,0.4879
Stony Brook,0.4833,205,452-475,0.4876
Georgia State,0.4831,206,461-491,0.4842
North Dakota,0.4826,207,425-432,0.4959
Southern Miss,0.4824,208,453-472,0.4897
Fairfield,0.482,209,453-470,0.4908
Milwaukee,0.4816,210,434-461,0.4849
Tarleton State,0.4806,211,418-446,0.4838
Detroit,0.4806,212,449-474,0.4865
Radford,0.4805,213,435-471,0.4801
Chicago State,0.4805,214,471-470,0.5005
East Texas A&M,0.4802,215,438-463,0.4861
Green Bay,0.4799,216,446-475,0.4843
Cleveland State,0.4797,217,475-510,0.4822
New Orleans,0.4794,218,440-473,0.4819
San Diego,0.4792,219,462-503,0.4788
Northeastern,0.4792,220,454-498,0.4769
Omaha,0.4792,221,463-480,0.491
California Baptist,0.479,222,460-483,0.4878
Central Michigan,0.4789,223,387-417,0.4813
Western Michigan,0.4788,224,445-469,0.4869
South Carolina Upstate,0.4786,225,405-438,0.4804
Texas State,0.4777,226,426-466,0.4776
Buffalo,0.477,227,412-444,0.4813
Stephen F. Austin,0.4764,228,394-424,0.4817
Northwestern State,0.4754,229,419-462,0.4756
UNCG,0.475,230,411-438,0.4841
Tulsa,0.4746,231,446-495,0.474
Utah Tech,0.4741,232,433-463,0.4833
Northern Illinois,0.474,233,398-435,0.4778
Old Dominion,0.4739,234,458-513,0.4717
Colgate,0.4735,235,450-491,0.4782
Cal State Northridge,0.4732,236,441-492,0.4727
South Alabama,0.4731,237,426-475,0.4728
Iona,0.473,238,468-527,0.4704
Hofstra,0.4728,239,447-499,0.4725
Lipscomb,0.4726,240,475-515,0.4798
Purdue Fort Wayne,0.4723,241,426-473,0.4739
Miami (OH),0.4723,242,441-493,0.4722
Pacific,0.472,243,445-511,0.4655
Longwood,0.4716,244,398-437,0.4766
Grand Canyon,0.4716,245,447-511,0.4666
Elon,0.4712,246,437-494,0.4694
Jacksonville,0.4712,247,447-484,0.4801
Presbyterian College,0.4703,248,404-467,0.4638
Robert Morris,0.4699,249,462-536,0.4629
Oral Roberts,0.4698,250,356-397,0.4728
Drexel,0.4692,251,439-515,0.4602
Southeast Missouri,0.469,252,411-441,0.4824
UMKC,0.4689,253,399-432,0.4801
Texas A&M-Corpus Christi,0.4685,254,409-459,0.4712
Vermont,0.4681,255,430-475,0.4751
Sacred Heart,0.4678,256,441-497,0.4701
Eastern Michigan,0.4677,257,427-483,0.4692
East Tennessee State,0.4676,258,411-461,0.4713
Rice,0.467,259,435-508,0.4613
North Carolina A&T,0.4664,260,429-491,0.4663
Utah Valley,0.4658,261,425-491,0.464
Saint Francis (PA),0.4657,262,431-462,0.4826
South Dakota State,0.4656,263,394-451,0.4663
Austin Peay,0.4656,264,437-492,0.4704
UTRGV,0.4653,265,367-423,0.4646
North Florida,0.465,266,420-476,0.4688
Mercer,0.465,267,422-479,0.4684
UC Santa Barbara,0.4648,268,432-511,0.4581
FGCU,0.4648,269,458-523,0.4669
Georgia Southern,0.4646,270,431-506,0.46
Denver,0.4642,271,392-445,0.4683
Montana State,0.4642,272,433-494,0.4671
American,0.4639,273,456-522,0.4663
IU Indianapolis,0.4626,274,397-463,0.4616
Bucknell,0.4618,275,458-532,0.4626
UMass-Lowell,0.4618,276,393-448,0.4673
North Dakota State,0.4617,277,387-450,0.4624
Niagara,0.4617,278,417-486,0.4618
West Georgia,0.4617,279,419-481,0.4656
Jackson State,0.4615,280,488-533,0.478
Eastern Kentucky,0.4614,281,412-476,0.464
Abilene Christian,0.4614,282,384-458,0.4561
UTA,0.4612,283,387-458,0.458
North Alabama,0.4609,284,451-527,0.4611
Houston Christian,0.4607,285,396-473,0.4557
Northern Colorado,0.4596,286,432-500,0.4635
Youngstown State,0.4594,287,422-517,0.4494
The Citadel,0.4594,288,347-411,0.4578
Lehigh,0.4592,289,385-449,0.4616
Columbia,0.4591,290,302-371,0.4487
Holy Cross,0.4591,291,408-477,0.461
Maryland Eastern Shore,0.459,292,366-410,0.4716
Army,0.4588,293,426-489,0.4656
Morehead State,0.4586,294,388-443,0.4669
Tennessee State,0.4586,295,395-449,0.468
Weber State,0.4578,296,418-483,0.4639
Idaho,0.4564,297,410-483,0.4591
Eastern Washington,0.4562,298,398-479,0.4538
Manhattan,0.4561,299,405-492,0.4515
Campbell,0.456,300,402-500,0.4457
Saint Thomas,0.4558,301,398-485,0.4507
Queens,0.4554,302,447-532,0.4566
Tennessee-Martin,0.4553,303,396-457,0.4642
VMI,0.4549,304,390-467,0.4551
New Hampshire,0.4542,305,387-469,0.4521
Southern Utah,0.4535,306,370-454,0.449
UMBC,0.4535,307,384-457,0.4566
ULM,0.4528,308,393-490,0.4451
Norfolk State,0.4526,309,426-487,0.4666
Central Arkansas,0.4522,310,419-502,0.4549
Incarnate Word,0.4507,311,412-504,0.4498
Lindenwood,0.4493,312,383-468,0.4501
Eastern Illinois,0.4485,313,356-449,0.4422
South Dakota,0.448,314,375-473,0.4422
Saint Peter's,0.4479,315,352-458,0.4346
Little Rock,0.4476,316,389-484,0.4456
Rider,0.4473,317,431-561,0.4345
SIU Edwardsville,0.4472,318,389-488,0.4436
Bellarmine,0.4472,319,383-477,0.4453
Navy,0.4472,320,427-534,0.4443
Lafayette,0.4472,321,414-516,0.4452
Le Moyne,0.447,322,382-472,0.4473
Bowling Green,0.4465,323,385-488,0.441
Maine,0.4464,324,403-518,0.4376
Howard,0.4449,325,357-438,0.4491
Albany,0.4444,326,391-503,0.4374
Ball State,0.4437,327,352-463,0.4319
Southeastern Louisiana,0.4433,328,374-499,0.4284
North Carolina Central,0.443,329,362-446,0.448
Boston University,0.4429,330,399-509,0.4394
Sacramento State,0.4428,331,368-473,0.4376
Coastal Carolina,0.4427,332,378-508,0.4266
Florida A&M,0.4422,333,398-485,0.4507
Fairleigh Dickinson,0.442,334,376-490,0.4342
Binghamton,0.4406,335,365-472,0.4361
NJIT,0.4395,336,378-491,0.435
Southern Indiana,0.4395,337,345-449,0.4345
Coppin State,0.4393,338,366-462,0.442
Grambling State,0.4387,339,413-512,0.4465
Tennessee Tech,0.4387,340,367-480,0.4333
Stetson,0.4376,341,387-511,0.431
Loyola-Maryland,0.4372,342,378-497,0.432
Marist,0.4364,343,369-509,0.4203
Idaho State,0.4362,344,335-452,0.4257
Bethune-Cookman,0.4351,345,421-561,0.4287
Western Illinois,0.4346,346,340-459,0.4255
Alabama State,0.4342,347,450-583,0.4356
Northern Arizona,0.4314,348,365-497,0.4234
Alcorn State,0.4313,349,398-530,0.4289
Mississippi Valley State,0.4299,350,378-504,0.4286
Portland State,0.4287,351,349-491,0.4155
Long Island,0.4236,352,363-524,0.4092
Central Connecticut,0.4212,353,347-505,0.4073
South Carolina State,0.4203,354,344-493,0.411
Texas Southern,0.4198,355,360-507,0.4152
Prairie View A&M,0.4179,356,381-546,0.411
Southern,0.4176,357,351-515,0.4053
Stonehill,0.4174,358,349-519,0.4021
Morgan State,0.4159,359,318-463,0.4072
Mercyhurst,0.4151,360,321-487,0.3973
Alabama A&M,0.4116,361,351-510,0.4077
Wagner,0.4081,362,293-457,0.3907
Delaware State,0.4061,363,293-452,0.3933
Arkansas-Pine Bluff,0.3871,364,320-555,0.3657
