team,href,team_url,gamelog_url
Akron,/cbb/schools/akron/men/2025.html,https://www.sports-reference.com/cbb/schools/akron/men/2025.html,https://www.sports-reference.com/cbb/schools/akron/men/2025-gamelogs.html
Alabama,/cbb/schools/alabama/men/2025.html,https://www.sports-reference.com/cbb/schools/alabama/men/2025.html,https://www.sports-reference.com/cbb/schools/alabama/men/2025-gamelogs.html
Alabama State,/cbb/schools/alabama-state/men/2025.html,https://www.sports-reference.com/cbb/schools/alabama-state/men/2025.html,https://www.sports-reference.com/cbb/schools/alabama-state/men/2025-gamelogs.html
American,/cbb/schools/american/men/2025.html,https://www.sports-reference.com/cbb/schools/american/men/2025.html,https://www.sports-reference.com/cbb/schools/american/men/2025-gamelogs.html
Arizona,/cbb/schools/arizona/men/2025.html,https://www.sports-reference.com/cbb/schools/arizona/men/2025.html,https://www.sports-reference.com/cbb/schools/arizona/men/2025-gamelogs.html
Arkansas,/cbb/schools/arkansas/men/2025.html,https://www.sports-reference.com/cbb/schools/arkansas/men/2025.html,https://www.sports-reference.com/cbb/schools/arkansas/men/2025-gamelogs.html
Auburn,/cbb/schools/auburn/men/2025.html,https://www.sports-reference.com/cbb/schools/auburn/men/2025.html,https://www.sports-reference.com/cbb/schools/auburn/men/2025-gamelogs.html
BYU,/cbb/schools/brigham-young/men/2025.html,https://www.sports-reference.com/cbb/schools/brigham-young/men/2025.html,https://www.sports-reference.com/cbb/schools/brigham-young/men/2025-gamelogs.html
Baylor,/cbb/schools/baylor/men/2025.html,https://www.sports-reference.com/cbb/schools/baylor/men/2025.html,https://www.sports-reference.com/cbb/schools/baylor/men/2025-gamelogs.html
Bryant,/cbb/schools/bryant/men/2025.html,https://www.sports-reference.com/cbb/schools/bryant/men/2025.html,https://www.sports-reference.com/cbb/schools/bryant/men/2025-gamelogs.html
Clemson,/cbb/schools/clemson/men/2025.html,https://www.sports-reference.com/cbb/schools/clemson/men/2025.html,https://www.sports-reference.com/cbb/schools/clemson/men/2025-gamelogs.html
Colorado State,/cbb/schools/colorado-state/men/2025.html,https://www.sports-reference.com/cbb/schools/colorado-state/men/2025.html,https://www.sports-reference.com/cbb/schools/colorado-state/men/2025-gamelogs.html
Creighton,/cbb/schools/creighton/men/2025.html,https://www.sports-reference.com/cbb/schools/creighton/men/2025.html,https://www.sports-reference.com/cbb/schools/creighton/men/2025-gamelogs.html
Drake,/cbb/schools/drake/men/2025.html,https://www.sports-reference.com/cbb/schools/drake/men/2025.html,https://www.sports-reference.com/cbb/schools/drake/men/2025-gamelogs.html
Duke,/cbb/schools/duke/men/2025.html,https://www.sports-reference.com/cbb/schools/duke/men/2025.html,https://www.sports-reference.com/cbb/schools/duke/men/2025-gamelogs.html
Florida,/cbb/schools/florida/men/2025.html,https://www.sports-reference.com/cbb/schools/florida/men/2025.html,https://www.sports-reference.com/cbb/schools/florida/men/2025-gamelogs.html
Georgia,/cbb/schools/georgia/men/2025.html,https://www.sports-reference.com/cbb/schools/georgia/men/2025.html,https://www.sports-reference.com/cbb/schools/georgia/men/2025-gamelogs.html
Gonzaga,/cbb/schools/gonzaga/men/2025.html,https://www.sports-reference.com/cbb/schools/gonzaga/men/2025.html,https://www.sports-reference.com/cbb/schools/gonzaga/men/2025-gamelogs.html
Grand Canyon,/cbb/schools/grand-canyon/men/2025.html,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2025.html,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2025-gamelogs.html
High Point,/cbb/schools/high-point/men/2025.html,https://www.sports-reference.com/cbb/schools/high-point/men/2025.html,https://www.sports-reference.com/cbb/schools/high-point/men/2025-gamelogs.html
Houston,/cbb/schools/houston/men/2025.html,https://www.sports-reference.com/cbb/schools/houston/men/2025.html,https://www.sports-reference.com/cbb/schools/houston/men/2025-gamelogs.html
Illinois,/cbb/schools/illinois/men/2025.html,https://www.sports-reference.com/cbb/schools/illinois/men/2025.html,https://www.sports-reference.com/cbb/schools/illinois/men/2025-gamelogs.html
Iowa State,/cbb/schools/iowa-state/men/2025.html,https://www.sports-reference.com/cbb/schools/iowa-state/men/2025.html,https://www.sports-reference.com/cbb/schools/iowa-state/men/2025-gamelogs.html
Kansas,/cbb/schools/kansas/men/2025.html,https://www.sports-reference.com/cbb/schools/kansas/men/2025.html,https://www.sports-reference.com/cbb/schools/kansas/men/2025-gamelogs.html
Kentucky,/cbb/schools/kentucky/men/2025.html,https://www.sports-reference.com/cbb/schools/kentucky/men/2025.html,https://www.sports-reference.com/cbb/schools/kentucky/men/2025-gamelogs.html
Liberty,/cbb/schools/liberty/men/2025.html,https://www.sports-reference.com/cbb/schools/liberty/men/2025.html,https://www.sports-reference.com/cbb/schools/liberty/men/2025-gamelogs.html
Lipscomb,/cbb/schools/lipscomb/men/2025.html,https://www.sports-reference.com/cbb/schools/lipscomb/men/2025.html,https://www.sports-reference.com/cbb/schools/lipscomb/men/2025-gamelogs.html
Louisville,/cbb/schools/louisville/men/2025.html,https://www.sports-reference.com/cbb/schools/louisville/men/2025.html,https://www.sports-reference.com/cbb/schools/louisville/men/2025-gamelogs.html
Marquette,/cbb/schools/marquette/men/2025.html,https://www.sports-reference.com/cbb/schools/marquette/men/2025.html,https://www.sports-reference.com/cbb/schools/marquette/men/2025-gamelogs.html
Maryland,/cbb/schools/maryland/men/2025.html,https://www.sports-reference.com/cbb/schools/maryland/men/2025.html,https://www.sports-reference.com/cbb/schools/maryland/men/2025-gamelogs.html
McNeese,/cbb/schools/mcneese-state/men/2025.html,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2025.html,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2025-gamelogs.html
Memphis,/cbb/schools/memphis/men/2025.html,https://www.sports-reference.com/cbb/schools/memphis/men/2025.html,https://www.sports-reference.com/cbb/schools/memphis/men/2025-gamelogs.html
Michigan,/cbb/schools/michigan/men/2025.html,https://www.sports-reference.com/cbb/schools/michigan/men/2025.html,https://www.sports-reference.com/cbb/schools/michigan/men/2025-gamelogs.html
Michigan State,/cbb/schools/michigan-state/men/2025.html,https://www.sports-reference.com/cbb/schools/michigan-state/men/2025.html,https://www.sports-reference.com/cbb/schools/michigan-state/men/2025-gamelogs.html
Mississippi State,/cbb/schools/mississippi-state/men/2025.html,https://www.sports-reference.com/cbb/schools/mississippi-state/men/2025.html,https://www.sports-reference.com/cbb/schools/mississippi-state/men/2025-gamelogs.html
Missouri,/cbb/schools/missouri/men/2025.html,https://www.sports-reference.com/cbb/schools/missouri/men/2025.html,https://www.sports-reference.com/cbb/schools/missouri/men/2025-gamelogs.html
Montana,/cbb/schools/montana/men/2025.html,https://www.sports-reference.com/cbb/schools/montana/men/2025.html,https://www.sports-reference.com/cbb/schools/montana/men/2025-gamelogs.html
Mount St. Mary's,/cbb/schools/mount-st-marys/men/2025.html,https://www.sports-reference.com/cbb/schools/mount-st-marys/men/2025.html,https://www.sports-reference.com/cbb/schools/mount-st-marys/men/2025-gamelogs.html
New Mexico,/cbb/schools/new-mexico/men/2025.html,https://www.sports-reference.com/cbb/schools/new-mexico/men/2025.html,https://www.sports-reference.com/cbb/schools/new-mexico/men/2025-gamelogs.html
Norfolk State,/cbb/schools/norfolk-state/men/2025.html,https://www.sports-reference.com/cbb/schools/norfolk-state/men/2025.html,https://www.sports-reference.com/cbb/schools/norfolk-state/men/2025-gamelogs.html
Oklahoma,/cbb/schools/oklahoma/men/2025.html,https://www.sports-reference.com/cbb/schools/oklahoma/men/2025.html,https://www.sports-reference.com/cbb/schools/oklahoma/men/2025-gamelogs.html
Ole Miss,/cbb/schools/mississippi/men/2025.html,https://www.sports-reference.com/cbb/schools/mississippi/men/2025.html,https://www.sports-reference.com/cbb/schools/mississippi/men/2025-gamelogs.html
Omaha,/cbb/schools/nebraska-omaha/men/2025.html,https://www.sports-reference.com/cbb/schools/nebraska-omaha/men/2025.html,https://www.sports-reference.com/cbb/schools/nebraska-omaha/men/2025-gamelogs.html
Oregon,/cbb/schools/oregon/men/2025.html,https://www.sports-reference.com/cbb/schools/oregon/men/2025.html,https://www.sports-reference.com/cbb/schools/oregon/men/2025-gamelogs.html
Purdue,/cbb/schools/purdue/men/2025.html,https://www.sports-reference.com/cbb/schools/purdue/men/2025.html,https://www.sports-reference.com/cbb/schools/purdue/men/2025-gamelogs.html
Robert Morris,/cbb/schools/robert-morris/men/2025.html,https://www.sports-reference.com/cbb/schools/robert-morris/men/2025.html,https://www.sports-reference.com/cbb/schools/robert-morris/men/2025-gamelogs.html
SIU Edwardsville,/cbb/schools/southern-illinois-edwardsville/men/2025.html,https://www.sports-reference.com/cbb/schools/southern-illinois-edwardsville/men/2025.html,https://www.sports-reference.com/cbb/schools/southern-illinois-edwardsville/men/2025-gamelogs.html
Saint Francis (PA),/cbb/schools/saint-francis-pa/men/2025.html,https://www.sports-reference.com/cbb/schools/saint-francis-pa/men/2025.html,https://www.sports-reference.com/cbb/schools/saint-francis-pa/men/2025-gamelogs.html
Saint Mary's,/cbb/schools/saint-marys-ca/men/2025.html,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2025.html,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2025-gamelogs.html
San Diego State,/cbb/schools/san-diego-state/men/2025.html,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2025.html,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2025-gamelogs.html
St. John's (NY),/cbb/schools/st-johns-ny/men/2025.html,https://www.sports-reference.com/cbb/schools/st-johns-ny/men/2025.html,https://www.sports-reference.com/cbb/schools/st-johns-ny/men/2025-gamelogs.html
Tennessee,/cbb/schools/tennessee/men/2025.html,https://www.sports-reference.com/cbb/schools/tennessee/men/2025.html,https://www.sports-reference.com/cbb/schools/tennessee/men/2025-gamelogs.html
Texas,/cbb/schools/texas/men/2025.html,https://www.sports-reference.com/cbb/schools/texas/men/2025.html,https://www.sports-reference.com/cbb/schools/texas/men/2025-gamelogs.html
Texas A&M,/cbb/schools/texas-am/men/2025.html,https://www.sports-reference.com/cbb/schools/texas-am/men/2025.html,https://www.sports-reference.com/cbb/schools/texas-am/men/2025-gamelogs.html
Texas Tech,/cbb/schools/texas-tech/men/2025.html,https://www.sports-reference.com/cbb/schools/texas-tech/men/2025.html,https://www.sports-reference.com/cbb/schools/texas-tech/men/2025-gamelogs.html
Troy,/cbb/schools/troy/men/2025.html,https://www.sports-reference.com/cbb/schools/troy/men/2025.html,https://www.sports-reference.com/cbb/schools/troy/men/2025-gamelogs.html
UC San Diego,/cbb/schools/california-san-diego/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2025-gamelogs.html
UCLA,/cbb/schools/ucla/men/2025.html,https://www.sports-reference.com/cbb/schools/ucla/men/2025.html,https://www.sports-reference.com/cbb/schools/ucla/men/2025-gamelogs.html
UConn,/cbb/schools/connecticut/men/2025.html,https://www.sports-reference.com/cbb/schools/connecticut/men/2025.html,https://www.sports-reference.com/cbb/schools/connecticut/men/2025-gamelogs.html
UNC,/cbb/schools/north-carolina/men/2025.html,https://www.sports-reference.com/cbb/schools/north-carolina/men/2025.html,https://www.sports-reference.com/cbb/schools/north-carolina/men/2025-gamelogs.html
UNC Wilmington,/cbb/schools/north-carolina-wilmington/men/2025.html,https://www.sports-reference.com/cbb/schools/north-carolina-wilmington/men/2025.html,https://www.sports-reference.com/cbb/schools/north-carolina-wilmington/men/2025-gamelogs.html
Utah State,/cbb/schools/utah-state/men/2025.html,https://www.sports-reference.com/cbb/schools/utah-state/men/2025.html,https://www.sports-reference.com/cbb/schools/utah-state/men/2025-gamelogs.html
VCU,/cbb/schools/virginia-commonwealth/men/2025.html,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2025.html,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2025-gamelogs.html
Vanderbilt,/cbb/schools/vanderbilt/men/2025.html,https://www.sports-reference.com/cbb/schools/vanderbilt/men/2025.html,https://www.sports-reference.com/cbb/schools/vanderbilt/men/2025-gamelogs.html
Wisconsin,/cbb/schools/wisconsin/men/2025.html,https://www.sports-reference.com/cbb/schools/wisconsin/men/2025.html,https://www.sports-reference.com/cbb/schools/wisconsin/men/2025-gamelogs.html
Wofford,/cbb/schools/wofford/men/2025.html,https://www.sports-reference.com/cbb/schools/wofford/men/2025.html,https://www.sports-reference.com/cbb/schools/wofford/men/2025-gamelogs.html
Xavier,/cbb/schools/xavier/men/2025.html,https://www.sports-reference.com/cbb/schools/xavier/men/2025.html,https://www.sports-reference.com/cbb/schools/xavier/men/2025-gamelogs.html
Yale,/cbb/schools/yale/men/2025.html,https://www.sports-reference.com/cbb/schools/yale/men/2025.html,https://www.sports-reference.com/cbb/schools/yale/men/2025-gamelogs.html
